filename,dice,iou,bce_loss
BraTS-GLI-01296-000_slice_068.npz,0.8709069490432739,0.7713809013366699,0.04944753646850586
BraTS-GLI-01296-000_slice_069.npz,0.8776167631149292,0.7819672226905823,0.04944753646850586
BraTS-GLI-01296-000_slice_070.npz,0.8829997777938843,0.7905511856079102,0.04944753646850586
BraTS-GLI-01296-000_slice_071.npz,0.8906282782554626,0.8028593063354492,0.04944753646850586
BraTS-GLI-01296-000_slice_072.npz,0.9063752889633179,0.828812301158905,0.047199420630931854
BraTS-GLI-01296-000_slice_073.npz,0.9031827449798584,0.8234885334968567,0.047199420630931854
BraTS-GLI-01296-000_slice_074.npz,0.9062211513519287,0.8285521268844604,0.047199420630931854
BraTS-GLI-01296-000_slice_075.npz,0.9042111039161682,0.8251978754997253,0.047199420630931854
BraTS-GLI-01296-000_slice_076.npz,0.9029784202575684,0.8231469392776489,0.051570650190114975
BraTS-GLI-01296-000_slice_077.npz,0.9039417505264282,0.8247489333152771,0.051570650190114975
BraTS-GLI-01296-000_slice_078.npz,0.9179734587669373,0.8484076261520386,0.051570650190114975
BraTS-GLI-01296-000_slice_079.npz,0.9263898134231567,0.8628954887390137,0.051570650190114975
BraTS-GLI-01296-000_slice_080.npz,0.9105091691017151,0.8357457518577576,0.06639852374792099
BraTS-GLI-01296-000_slice_081.npz,0.9050347208976746,0.8265694379806519,0.06639852374792099
BraTS-GLI-01296-000_slice_082.npz,0.8746151328086853,0.7772036194801331,0.06639852374792099
BraTS-GLI-01296-000_slice_083.npz,0.8802924752235413,0.7862131595611572,0.06639852374792099
BraTS-GLI-01296-000_slice_084.npz,0.8843157291412354,0.7926533222198486,0.07423210889101028
BraTS-GLI-01296-000_slice_085.npz,0.8728674650192261,0.7744470238685608,0.07423210889101028
BraTS-GLI-01296-000_slice_086.npz,0.8803804516792297,0.7863518595695496,0.07423210889101028
BraTS-GLI-01296-000_slice_087.npz,0.8751415014266968,0.7780333757400513,0.07423210889101028
BraTS-GLI-01296-000_slice_088.npz,0.884628176689148,0.793154776096344,0.07561901956796646
BraTS-GLI-01296-000_slice_089.npz,0.8844009041786194,0.7927900552749634,0.07561901956796646
BraTS-GLI-01296-000_slice_090.npz,0.878829836845398,0.7838839292526245,0.07561901956796646
BraTS-GLI-01296-000_slice_091.npz,0.8959671854972839,0.8115707635879517,0.07561901956796646
BraTS-GLI-01296-000_slice_092.npz,0.9090398550033569,0.8332761526107788,0.04208631068468094
BraTS-GLI-01296-000_slice_093.npz,0.9342526197433472,0.8766404390335083,0.04208631068468094
BraTS-GLI-01296-000_slice_094.npz,0.9234381318092346,0.8577929735183716,0.04208631068468094
BraTS-GLI-01296-000_slice_095.npz,0.9142316579818726,0.8420441150665283,0.04208631068468094
